iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589555000,2021,4,3,19,45,37,1,1,1,0,46,-362006,3D-Fix,-78.0592722,38.3973854,216.87,251.334,11.027000000000001,24.657,5.9,-0.841,0.10300000000000001,5.96,355.91536,
589556000,2021,4,3,19,45,38,1,1,1,0,47,-362018,3D-Fix,-78.0592532,38.397433899999996,212.571,247.035,11.375,25.171,5.759,-0.041,0.445,5.76,357.72472000000005,
589557000,2021,4,3,19,45,39,1,1,1,0,48,-362038,3D-Fix,-78.059269,38.3974894,218.972,253.436,11.336,25.086000000000002,4.277,-0.655,0.498,4.327,354.61696,
589558000,2021,4,3,19,45,40,1,1,1,0,47,-362057,3D-Fix,-78.0592757,38.397536099999996,222.841,257.305,10.984,24.408,3.864,-0.599,0.495,3.91,352.79628,
589559000,2021,4,3,19,45,41,1,1,1,0,46,-362073,3D-Fix,-78.05927419999999,38.3975714,226.558,261.023,10.441,23.326,3.209,0.221,0.494,3.217,358.65688,
589560000,2021,4,3,19,45,42,1,1,1,0,46,-362076,3D-Fix,-78.0592832,38.3975917,217.16,251.624,10.138,22.69,2.21,-0.128,0.91,2.214,358.0094,
589561000,2021,4,3,19,45,43,1,1,1,0,45,-362095,3D-Fix,-78.0592666,38.3976249,222.073,256.537,9.929,22.329,2.262,1.208,0.9450000000000001,2.564,14.991980000000002,
589562000,2021,4,3,19,45,44,1,1,1,0,45,-362111,3D-Fix,-78.05925119999999,38.3976466,225.30100000000002,259.765,9.759,21.962,1.348,1.171,1.035,1.7850000000000001,23.43364,
589563000,2021,4,3,19,45,45,1,1,1,0,46,-362111,3D-Fix,-78.05924859999999,38.397666199999996,212.691,247.155,9.857,22.161,1.401,1.032,1.606,1.74,31.094,
589564000,2021,4,3,19,45,46,1,1,1,0,45,-362101,3D-Fix,-78.0592214,38.397680799999996,192.245,226.709,9.689,21.828,2.572,2.706,2.309,3.733,44.085010000000004,
589565000,2021,4,3,19,45,47,1,1,1,0,46,-362115,3D-Fix,-78.05918129999999,38.397734799999995,195.51500000000001,229.979,9.697000000000001,21.712,5.024,3.12,2.451,5.914,34.81085,
589566000,2021,4,3,19,45,48,1,1,1,0,44,-362116,3D-Fix,-78.0591422,38.397780499999996,187.903,222.36700000000002,9.05,20.286,6.002,2.872,2.746,6.6530000000000005,28.555570000000003,
